Label, pos.X (µm), pos.Y (µm), pos.Z (µm), e1.X, e1.Y, e1.Z, e2.X, e2.Y, e2.Z, r1 (µm), r2 (µm), r3 (µm)
150,-108.619,-4.47822,3.26723,0.813925,-0.288569,0.504237,0.553813,0.123119,-0.823489,4.28778,3.70836,2.12249
1180,-108.568,2.33081,-5.92696,0.00608561,0.320776,0.947136,0.366236,-0.882059,0.296382,2.98127,2.08603,1.69718
1815,-108.465,-2.64035,13.9389,0.998693,-0.048761,0.0152992,-0.0163542,-0.0213122,0.999639,5.74103,3.56554,1.82737
136,-108.37,-5.3659,-1.5954,0.995906,-0.0899519,-0.00898031,-0.0222384,-0.340071,0.940137,10.6198,4.25602,2.4089
2479,-108.272,11.5098,17.3988,0.144709,-0.196844,0.969697,0.971963,0.211835,-0.102046,3.86038,2.40274,1.96856
1441,-108.266,-3.78137,18.5748,0.901926,-0.0691639,0.426317,-0.43187,-0.134643,0.891829,4.06414,3.18079,2.34692
413,-108.218,0.750125,16.4422,-0.28482,-0.113196,-0.951874,0.958541,-0.0426757,-0.28174,7.61069,6.65466,2.89067
1251,-108.124,-55.4329,-17.1755,-0.013956,-0.820355,0.571684,-0.0514632,-0.570392,-0.819758,8.42545,7.93084,4.85476
2042,-108.066,-13.138,-56.3614,0.0603062,-0.0168255,0.998038,-0.123705,-0.992276,-0.00925357,22.1702,11.9737,7.82437
884,-107.892,-8.33793,9.70838,0.992564,-0.121124,-0.0121036,0.0110461,-0.00939886,0.999895,7.7824,4.19955,2.84971
1152,-107.864,-39.1568,-60.0274,0.0787718,0.288867,0.954123,0.905858,-0.420319,0.0524672,8.70565,7.11553,6.64441
2339,-107.854,-27.6424,66.219,0.837748,-0.136702,0.528669,-0.53928,-0.359178,0.761687,9.65751,8.60726,7.42552
282,-107.678,-15.6437,-22.926,-0.0289545,-0.195138,0.980348,-0.157514,-0.967615,-0.197256,16.9738,11.8554,5.76553
988,-107.608,-50.5662,-29.22,0.00863324,-0.997988,0.0628077,0.163286,-0.0605601,-0.984718,10.2542,8.03919,7.0283
1264,-107.448,10.1948,11.6725,0.600783,0.0616319,-0.797033,-0.79743,0.116369,-0.592084,6.51566,5.70238,2.78992
653,-107.433,-55.1075,21.767,0.965787,-0.0640327,0.251308,-0.20194,-0.793682,0.573837,9.45298,8.20372,7.21605
3084,-107.42,-14.0695,54.159,0.0164257,0.470861,0.882055,-0.072642,-0.87928,0.470733,16.9274,12.8018,5.63696
2579,-107.311,58.6718,79.9066,0.993793,0.0944117,0.0588354,-0.091092,0.387054,0.917547,11.5716,9.97405,7.80989
1165,-107.217,41.6217,44.8231,-0.00480956,-0.394294,-0.918972,0.00303647,-0.918984,0.394284,18.1275,11.029,6.35494
1533,-107.193,52.6773,91.3535,0.0133561,0.454717,0.890536,0.217125,-0.870683,0.441324,9.53444,7.84233,7.09154
1452,-107.064,-3.72031,-72.7355,0.3745,0.168508,0.911787,0.875186,0.260563,-0.407622,3.0138,2.04183,1.50293
2328,-106.957,4.19842,-91.5916,0.0293705,-0.0445513,0.998575,-0.237638,-0.970675,-0.036317,10.5093,8.01131,6.88568
1547,-106.945,21.673,41.755,0.0415462,-0.130531,-0.990573,0.0506188,0.990431,-0.128389,19.2316,10.6566,5.46038
2674,-106.857,3.47202,-13.8776,0.07396,0.996274,0.0443686,-0.621756,0.0112807,0.78313,9.47986,8.12391,7.24938
1335,-106.798,25.8839,86.5458,0.025522,0.0188114,-0.999497,0.125196,0.991891,0.0218651,13.1166,8.12929,6.32926
294,-106.781,56.9909,33.694,-0.265147,0.255172,-0.92983,-0.0228082,0.962417,0.270618,11.4718,9.94829,9.35295
2836,-106.5,26.252,-37.2105,-0.017398,-0.250628,-0.967927,-0.0090575,-0.967994,0.250808,18.7391,10.0531,6.64266
2696,-106.444,-21.3874,-79.4214,-0.180017,-0.253277,0.950497,-0.837431,-0.467467,-0.283168,10.0519,8.89633,7.55913
1008,-106.132,8.83785,-5.28847,0.999262,-0.0366735,-0.0114157,0.0167466,0.14852,0.988768,10.3346,4.55925,2.67775
2087,-105.92,-8.23118,-85.3661,0.111426,0.128918,0.985375,0.479527,-0.875452,0.060312,12.6563,8.83908,7.33691
107,-105.906,18.1683,-19.8507,0.0307507,0.384045,0.922802,0.0174404,-0.923304,0.383673,22.2961,8.52316,5.57052
2429,-105.893,-23.9266,1.2253,-0.00172534,-0.0429216,0.999077,-0.112006,-0.992783,-0.0428447,15.7154,8.83373,6.64913
641,-105.341,-17.6352,27.2361,0.0463669,0.446314,0.893674,-0.0517778,-0.89236,0.448344,17.1689,10.362,5.24351
1260,-105.327,3.39802,15.2077,0.923493,-0.145073,-0.355126,-0.343406,0.0999623,-0.933852,7.449,4.48725,2.06094
503,-105.091,-1.96266,-6.05528,0.996393,-0.0290809,-0.079724,-0.0769719,0.0858914,-0.993327,6.54637,3.7022,2.35939
218,-104.932,-1.04662,7.16139,0.992805,-0.0809477,-0.0882324,-0.0939949,-0.0703735,-0.993082,18.9239,7.27206,2.25009
2758,-104.856,6.74523,7.58079,0.261715,0.0633676,-0.963063,0.965133,-0.0222304,0.260814,7.30277,4.15799,2.35306
1389,-104.654,2.71382,85.0959,0.0199569,-0.154384,0.987809,-0.0646642,-0.986137,-0.152816,9.34368,6.30804,3.79722
2733,-104.629,19.2084,9.27993,0.0552478,-0.0197776,0.998277,-0.998465,-0.00490346,0.0551611,8.0924,4.80308,3.73219
636,-104.44,38.4489,-46.0167,0.0380757,0.310559,0.949791,0.353968,-0.893043,0.277814,10.4779,7.40755,6.4702
866,-104.433,51.7131,-15.044,-0.0872024,0.240852,0.966636,0.0198102,-0.969722,0.243408,9.86476,7.64263,7.4042
1971,-104.375,-4.18592,-20.9505,-0.0529336,0.0179675,-0.998436,0.991251,-0.120114,-0.0547143,3.3296,1.55229,1.17536
1952,-104.159,-21.1862,-40.0931,-0.102647,0.210272,0.972239,0.0464693,-0.975321,0.215844,4.43043,1.96115,1.73841
409,-104.068,43.638,18.4961,0.0165365,0.0221105,0.999619,-0.0337901,-0.999172,0.0226596,16.5589,8.90535,5.51032
2257,-103.891,-5.15616,4.0866,0.126366,0.32752,-0.936356,0.980865,-0.182188,0.068647,5.27792,2.7182,2.09352
2094,-103.847,-46.2747,-51.0639,-0.898205,0.367142,0.241731,0.39843,0.447674,0.800526,8.42083,7.73849,6.49698
2611,-103.81,-38.0719,-14.9155,-0.0271978,-0.137519,0.990126,-0.0996578,-0.985185,-0.13957,16.1728,13.0218,7.52044
49,-103.754,-27.737,-26.7767,0.379224,-0.133548,-0.915617,-0.860267,0.313547,-0.402032,3.15825,1.98113,1.31079
1157,-103.746,15.0832,53.7773,-0.141577,0.171901,0.974888,0.28326,0.950665,-0.126494,3.94307,1.70783,0.93692
60,-103.668,-1.86513,-0.754093,0.997358,-0.0684603,0.024289,-0.0332026,-0.132232,0.990663,9.0101,3.21779,1.9985
1747,-103.639,-29.6582,-67.1239,0.0278607,0.372952,0.927432,-0.532194,-0.779835,0.329586,12.0982,7.73921,6.94292
1312,-103.578,-6.31404,14.5796,0.996344,-0.0762376,-0.0385538,0.0427947,0.0547995,0.99758,5.87625,3.53434,1.76936
2698,-103.56,-4.10868,18.593,-0.235992,-0.0915483,0.967433,0.474818,-0.87948,0.0326002,3.34595,2.64355,2.32807
857,-103.479,-44.6764,45.9685,0.99113,-0.0943911,0.0935525,-0.0926917,0.0134731,0.995604,12.594,9.09521,8.51564
2314,-103.47,14.349,22.5479,-0.0430628,0.569359,-0.820961,0.054601,0.821836,0.567102,10.5454,5.80937,4.73422
1597,-103.412,-2.31215,-47.0113,-0.068167,-0.0798493,0.994473,0.0690541,-0.994779,-0.0751405,3.56623,1.77057,1.43869
1308,-103.402,-7.08901,76.6522,0.0935621,-0.25418,0.962621,0.940573,0.339588,-0.00175089,11.7576,9.22301,8.1632
1377,-103.338,-8.98118,3.38727,0.066733,0.049545,0.99654,0.997676,0.0104936,-0.0673308,4.37458,2.69381,2.30209
748,-103.033,-58.3973,10.6054,-0.0678953,-0.105015,0.99215,-0.126022,-0.985577,-0.112943,7.72459,7.15062,4.78799
789,-103.02,1.1486,1.92089,0.907125,-0.101827,0.408356,-0.420655,-0.249702,0.87218,3.56031,2.23378,1.58234
2,-102.933,-9.35436,-8.08897,0.200935,0.441858,-0.874292,0.975568,-0.1712,0.137688,10.6929,6.53399,5.60243
1075,-102.828,0.896709,-2.20018,0.985124,-0.0206187,0.170604,-0.168296,0.0849765,0.982067,8.12553,3.95097,1.75599
2933,-102.666,-55.1283,-3.09228,0.139911,-0.980069,-0.141029,-0.114621,-0.157503,0.980844,10.5755,9.66907,7.08634
1384,-102.646,11.1431,16.5138,0.9891,-0.0418665,0.141169,-0.147246,-0.282541,0.947887,4.77301,3.9891,2.31283
1196,-102.607,39.3689,92.551,0.0397594,0.34173,0.938957,-0.0646373,0.938611,-0.338867,9.55812,7.71654,6.70157
2138,-102.563,-14.5662,5.92735,-0.113803,-0.0372155,0.992806,0.946947,-0.306384,0.0970616,9.05642,6.22144,4.01497
909,-102.5,37.5601,-9.50149,-0.0320452,-0.229068,-0.972883,-0.0542427,0.972347,-0.227155,19.2373,10.2399,6.26653
1404,-102.393,-4.66373,9.62416,0.997088,-0.0701309,0.0299548,-0.0339811,-0.0569414,0.997799,7.66913,4.16486,2.18348
2951,-102.384,-34.7482,55.9455,-0.0378778,-0.592701,0.804531,-0.864684,-0.384118,-0.323691,10.7177,8.61613,8.10998
24,-102.343,8.57356,-33.9541,0.0891453,0.0318603,-0.995509,0.874755,0.47545,0.0935484,6.41062,2.13407,1.59328
2654,-102.326,15.4225,-4.53505,-0.0469566,0.463303,0.884955,0.997724,-0.0211754,0.0640263,10.5462,5.62533,4.45513
1552,-102.299,0.823416,19.8926,0.434886,-0.776916,-0.455275,-0.876621,-0.48089,-0.0167352,3.65312,3.10407,2.50708
3130,-102.294,2.85434,-6.27579,0.880415,0.0961323,-0.464358,0.429982,0.251086,0.86722,5.3751,3.93236,3.1338
254,-102.243,36.7643,69.2859,-0.0220878,-0.596323,-0.802441,-0.0605259,-0.800367,0.596447,21.6152,13.25,6.53635
1027,-102.22,58.1575,17.731,0.402661,-0.00211882,0.915347,0.909633,0.112506,-0.399887,10.1945,9.05461,8.1442
2847,-102.117,7.47972,-0.200106,0.629688,-0.236288,-0.740041,0.776614,0.168107,0.607133,5.25915,5.11713,2.38561
2498,-102.001,-0.584297,15.8507,0.956546,0.00182741,-0.291577,-0.2854,0.210699,-0.934961,3.4895,2.82169,1.83977
813,-101.976,-5.72019,-71.7695,0.127466,0.0153258,-0.991725,0.924743,0.359682,0.124415,3.88201,1.57578,1.38939
1042,-101.671,20.6421,-66.1609,0.0298056,0.119692,0.992364,0.874414,0.477871,-0.0839006,2.78091,1.24148,1.09841
470,-101.661,5.93227,11.8248,0.139441,0.0733782,-0.987508,-0.691376,0.721152,-0.0440397,9.25859,2.4816,2.17604
1086,-101.573,-32.2496,35.4438,-0.0570116,-0.450647,-0.89088,-0.0276633,-0.891275,0.452618,15.1241,10.6663,7.17005
1314,-101.57,-4.97277,-60.3755,0.072432,0.0872401,0.993551,0.989078,-0.134499,-0.060296,8.08199,1.20827,1.03558
1476,-101.537,21.0057,-52.2344,0.110509,0.117783,-0.986871,-0.833313,-0.53016,-0.156588,2.46528,1.17323,0.99424
288,-101.479,16.2465,-39.339,0.0816623,0.358829,-0.929824,0.320244,0.874021,0.36542,2.35044,1.76334,1.54805
1097,-101.41,2.48033,41.2034,0.0505557,-0.4303,-0.901269,-0.0492508,-0.902399,0.428077,16.385,11.9578,6.97014
2660,-101.2,29.1553,-59.3494,0.479658,-0.073034,0.874411,-0.877432,-0.0327224,0.478583,9.93147,9.74988,9.40402
1174,-100.841,-1.02931,25.1348,0.106303,0.989519,0.0977309,0.9862,-0.117469,0.116668,8.82737,5.24542,4.51213
2178,-100.757,9.8036,-18.0892,-0.105969,0.0177595,-0.994211,0.851693,-0.514418,-0.0999677,4.37296,1.60365,1.28407
2395,-100.711,-3.07387,13.9116,0.966316,-0.0413758,0.254009,-0.256245,-0.0630394,0.964554,4.33973,3.09762,1.71844
357,-100.562,14.1407,12.2011,0.319366,0.0641136,0.94546,0.943541,-0.114113,-0.31098,4.01723,3.63945,2.41772
85,-100.474,-3.74386,-50.3398,-0.0723374,-0.126568,-0.989317,0.858919,-0.512104,0.00271294,3.7495,1.81526,1.59406
2236,-99.9961,14.363,5.53006,0.991151,-0.0494382,-0.123187,-0.124009,-0.0139045,-0.992184,6.45022,4.71738,2.50298
2590,-99.8816,3.98259,0.871009,-0.0442677,-0.0514734,0.997693,0.938085,-0.345587,0.0237933,5.36534,2.56114,2.12396
2487,-99.828,7.85502,-60.837,0.0608321,0.190371,0.979826,-0.0653022,-0.978782,0.194222,25.8917,13.1083,7.63852
2978,-99.7863,10.428,67.2256,0.0160906,0.641339,0.767089,-0.114152,-0.760993,0.638638,17.5005,13.4679,7.04434
3137,-99.6903,-40.4764,11.952,0.0223359,0.166988,0.985706,-0.0752814,-0.982872,0.168214,16.4148,13.3203,7.38736
2458,-99.6508,53.8599,0.563494,-0.0601553,-0.0171914,0.998041,0.15418,-0.988013,-0.00772576,11.5962,9.33654,6.04423
2186,-99.6425,29.0563,15.3137,0.0229371,-0.122149,-0.992247,0.121675,0.985471,-0.118502,22.0993,8.94928,5.72822
44,-99.1975,-10.4939,17.4314,0.0379395,0.369855,0.928315,0.995382,0.0679821,-0.0677656,7.8394,5.94485,3.82794
